ORG_NCES_ID,ORG_CODE,ORG_NAME,DISTRICT_NAME
2504200,06500000,Dighton-Rehoboth,Dighton-Rehoboth School District
2504230,00770000,Douglas,Douglas School District
2504260,00780000,Dover,Dover School District
2504290,06550000,Dover-Sherborn,Dover-Sherborn School District
2504320,00790000,Dracut,Dracut School District
2504360,06580000,Dudley-Charlton Reg,Dudley-Charlton Regional School District
2504410,00820000,Duxbury,Duxbury School District
2504440,00830000,East Bridgewater,East Bridgewater School District
2504500,00870000,East Longmeadow,East Longmeadow School District
2504530,00850000,Eastham,Eastham School District
2504590,00860000,Easthampton,Easthampton School District
2504620,00880000,Easton,Easton School District
2509090,00890000,Edgartown,Edgartown School District
2504710,00910000,Erving,Erving School District
2504770,00930000,Everett,Everett School District
2504800,00940000,Fairhaven,Fairhaven School District
2504830,00950000,Fall River,Fall River School District
2504860,00960000,Falmouth,Falmouth School District
2513321,06620000,Farmington River Reg,Farmington River Regional School District
2504890,00970000,Fitchburg,Fitchburg School District
2504920,00980000,Florida,Florida School District
2504950,00990000,Foxborough,Foxborough School District
2504980,01000000,Framingham,Framingham School District
2505010,01010000,Franklin,Franklin School District
2505070,06650000,Freetown-Lakeville,Freetown-Lakeville School District
2505100,06700000,Frontier,Frontier School District
2505130,01030000,Gardner,Gardner School District
2505160,06720000,Gateway,Gateway School District
2505220,01050000,Georgetown,Georgetown School District
2505270,06740000,Gill-Montague,Gill-Montague School District
2505280,01070000,Gloucester,Gloucester School District
2505340,01090000,Gosnold,Gosnold School District
2505370,01100000,Grafton,Grafton School District
2505400,01110000,Granby,Granby School District
2505430,01120000,Granville (Non-op),Granville School District
2505490,01140000,Greenfield,Greenfield School District
2505500,06730000,Groton-Dunstable,Groton-Dunstable School District
2505580,01170000,Hadley,Hadley School District
2505610,01180000,Halifax,Halifax School District
2505670,06750000,Hamilton-Wenham,Hamilton-Wenham School District
2505730,06800000,Hampden-Wilbraham,Hampden-Wilbraham School District
2505740,06830000,Hampshire,Hampshire School District
2505760,01210000,Hancock,Hancock School District
2505790,01220000,Hanover,Hanover School District
2505880,01250000,Harvard,Harvard School District
2505910,01260000,Harwich (Non-op),Harwich School District
2505940,01270000,Hatfield,Hatfield School District
2505970,01280000,Haverhill,Haverhill School District
2506000,06850000,Hawlemont,Hawlemont School District
2506090,01310000,Hingham,Hingham School District
2506150,01330000,Holbrook,Holbrook School District
2506210,01350000,Holland,Holland School District
2506240,01360000,Holliston,Holliston School District
2506270,01370000,Holyoke,Holyoke School District
2506300,01380000,Hopedale,Hopedale School District
2506330,01390000,Hopkinton,Hopkinton School District
2506390,01410000,Hudson,Hudson School District
2506420,01420000,Hull,Hull School District
2506480,01440000,Ipswich,Ipswich School District
2506510,06900000,King Philip,King Philip School District
2506540,01450000,Kingston,Kingston School District
2506630,01480000,Lanesborough,Lanesborough School District
2506660,01490000,Lawrence,Lawrence School District
2506690,01500000,Lee,Lee School District
2506720,01510000,Leicester,Leicester School District
2506750,01520000,Lenox,Lenox School District
2506780,01530000,Leominster,Leominster School District
2506810,01540000,Leverett,Leverett School District
2506840,01550000,Lexington,Lexington School District
2506900,01570000,Lincoln,Lincoln School District
2506930,06950000,Lincoln-Sudbury,Lincoln-Sudbury School District
2506960,01580000,Littleton,Littleton School District
2506990,01590000,Longmeadow,Longmeadow School District
2507020,01600000,Lowell,Lowell School District
2507050,01610000,Ludlow,Ludlow School District
2507080,01620000,Lunenburg,Lunenburg School District
2507110,01630000,Lynn,Lynn School District
2507140,01640000,Lynnfield,Lynnfield School District
2507170,01650000,Malden,Malden School District
2500067,06980000,Manchester Essex Regional,Manchester Essex Regional School District
2507230,01670000,Mansfield,Mansfield School District
2507260,01680000,Marblehead,Marblehead School District
2507290,01690000,Marion,Marion School District
2507320,01700000,Marlborough,Marlborough School District
2507350,01710000,Marshfield,Marshfield School District
2507380,07000000,Martha's Vineyard,Martha's Vineyard School District
2507410,07050000,Masconomet,Masconomet School District
2507440,01720000,Mashpee,Mashpee School District
2507470,01730000,Mattapoisett,Mattapoisett School District
2507500,01740000,Maynard,Maynard School District
2507530,01750000,Medfield,Medfield School District
2507560,01760000,Medford,Medford School District
2507590,01770000,Medway,Medway School District
2507620,01780000,Melrose,Melrose School District
2507680,07100000,Mendon-Upton,Mendon-Upton School District
2507740,01810000,Methuen,Methuen School District
2507770,01820000,Middleborough,Middleborough School District
2507830,01840000,Middleton,Middleton School District
2507860,01850000,Milford,Milford School District
2507890,01860000,Millbury,Millbury School District
2507920,01870000,Millis,Millis School District
2507980,01890000,Milton,Milton School District
2507990,07170000,Mohawk Trail,Mohawk Trail School District
2508040,01910000,Monson,Monson School District
2508160,07150000,Mount Greylock,Mount Greylock School District
2508220,01960000,Nahant,Nahant School District
2508250,01970000,Nantucket,Nantucket School District
2508280,07200000,Narragansett,Narragansett School District
2508310,07250000,Nashoba,Nashoba School District
2508340,01980000,Natick,Natick School District
2504560,06600000,Nauset,Nauset School District
2508370,01990000,Needham,Needham School District
2508430,02010000,New Bedford,New Bedford School District
2508530,07280000,New Salem-Wendell,New Salem-Wendell School District
2508580,02040000,Newburyport,Newburyport School District
2508610,02070000,Newton,Newton School District
2508640,02080000,Norfolk,Norfolk School District
2508670,02090000,North Adams,North Adams School District
2508700,02110000,North Andover,North Andover School District
2508730,02120000,North Attleborough,North Attleborough School District
2508760,02150000,North Brookfield,North Brookfield School District
2508790,07350000,North Middlesex,North Middlesex School District
2508820,02170000,North Reading,North Reading School District
2508850,02100000,Northampton,Northampton School District
2508910,07300000,Northboro-Southboro,Northborough-Southborough School District
2508880,02130000,Northborough,Northborough School District
2508940,02140000,Northbridge,Northbridge School District
2509000,02180000,Norton,Norton School District
2509030,02190000,Norwell,Norwell School District
2509060,02200000,Norwood,Norwood School District
2504650,02210000,Oak Bluffs,Oak Bluffs School District
2509150,07400000,Old Rochester,Old Rochester School District
2509180,02230000,Orange,Orange School District
2509210,02240000,Orleans,Orleans School District
2509270,02260000,Oxford,Oxford School District
2509300,02270000,Palmer,Palmer School District
2509360,02290000,Peabody,Peabody School District
2509390,02300000,Pelham,Pelham School District
2509420,02310000,Pembroke,Pembroke School District
2509450,07450000,Pentucket,Pentucket School District
2509540,02340000,Petersham,Petersham School District
2509600,07500000,Pioneer Valley,Pioneer Valley School District
2509630,02360000,Pittsfield,Pittsfield School District
2509690,02380000,Plainville,Plainville School District
2509720,02390000,Plymouth,Plymouth School District
2509780,02400000,Plympton,Plympton School District
2509840,02420000,Provincetown,Provincetown School District
2500001,07530000,Quabbin,Quabbin School District
2512100,07780000,Quaboag Regional,Quaboag Regional School District
2509870,02430000,Quincy,Quincy School District
2509900,07550000,Ralph C Mahar,Ralph C. Mahar School District
2509930,02440000,Randolph,Randolph School District
2509990,02460000,Reading,Reading School District
2510050,02480000,Revere,Revere School District
2510080,02490000,Richmond,Richmond School District
2510140,02500000,Rochester,Rochester School District
2510170,02510000,Rockland,Rockland School District
2510200,02520000,Rockport,Rockport School District
2510230,02530000,Rowe,Rowe School District
2510380,02580000,Salem,Salem School District
2510470,02610000,Sandwich,Sandwich School District
2510500,02620000,Saugus,Saugus School District
